date	position	channel	probe	concentration	Z_res	XY_res	subclone_number	fixation_date
20231116	1	2	C1P-94.1	0.2	1000	130	NA	
20231116	1	3	C1P-96.1	0.2	1000	130	NA	
20231116	1	4	C1P-75.4	0.2	1000	130	NA	
20231116	1	5	C1P-76.8	0.2	1000	130	NA	
20231115	2	2	C1P-94.1	0.1	1000	130	NA	
20231115	2	3	C1P-96.1	0.1	1000	130	NA	
20231115	2	4	C1P-75.4	0.1	1000	130	NA	
20231115	2	5	C1P-76.8	0.1	1000	130	NA	
20231004	1	2	C1P-8.0	0.2	1000	130	NA	
20231004	1	3	C1P-40.4	0.2	1000	130	NA	
20231004	1	4	C1P-113.4	0.2	1000	130	NA	
20231004	1	5	C1P-106.7	0.2	1000	130	NA	
20231005	3	2	C1P-8.0	0.05	1000	130	NA	
20231005	3	3	C1P-40.4	0.05	1000	130	NA	
20231005	3	4	C1P-113.4	0.05	1000	130	NA	
20231005	3	5	C1P-106.7	0.05	1000	130	NA	
20231005	4	2	C1P-8.0	0.02	1000	130	NA	
20231005	4	3	C1P-40.4	0.02	1000	130	NA	
20231005	4	4	C1P-113.4	0.02	1000	130	NA	
20231005	4	5	C1P-106.7	0.02	1000	130	NA	
20231122	1	2	C1P-21.0	0.02	1000	130	NA	
20231122	1	3	C1P-43.8	0.02	1000	130	NA	
20231122	1	4	C1P-69.2	0.02	1000	130	NA	
20231122	1	5	C1P-94.1	0.02	1000	130	NA	
20231129	2	2	C1P-21.0	0.1	1000	130	NA	
20231129	2	3	C1P-43.8	0.1	1000	130	NA	
20231129	2	4	C1P-69.2	0.1	1000	130	NA	
20231129	2	5	C1P-94.1	0.1	1000	130	NA	
20231206	1	2	C1P-13.3	0.2	1000	130	NA	
20231206	1	3	C1P-109.4	0.2	1000	130	NA	
20231206	1	4	C1P-69.2	0.2	1000	130	NA	
20231206	1	5	C1P-107.9	0.2	1000	130	NA	
20231208	2	2	C1P-13.3	0.1	1000	130	NA	
20231208	2	3	C1P-109.4	0.1	1000	130	NA	
20231208	2	4	C1P-69.2	0.1	1000	130	NA	
20231208	2	5	C1P-107.9	0.1	1000	130	NA	
20231213	1	2	C1P-109.4	0.1	1000	130	NA	
20231213	1	3	C1P-24.2	0.1	1000	130	NA	
20231213	1	4	C1P-44.6	0.1	1000	130	NA	
20231213	1	5	C1P-13.3	0.1	1000	130	NA	
20231213	2	2	C1P-109.4	0.1	1000	130	NA	
20231213	2	3	C1P-24.2	0.1	1000	130	NA	
20231213	2	4	C1P-44.6	0.1	1000	130	NA	
20231213	2	5	C1P-13.3	0.1	1000	130	NA	
20231219	1	2		0.1	1000	130	NA	
20231219	1	3	C1P-12.7	0.1	1000	130	NA	
20231219	1	4	C1P-2.4	0.1	1000	130	NA	
20231219	1	5	C1P-22.2	0.1	1000	130	NA	
20240109	1	2	C1P-106.7	0.1	1000	130	NA	
20240109	1	3	C1P-40.4	0.1	1000	130	NA	
20240109	1	4	C1P-8.0	0.1	1000	130	NA	
20240109	1	5	C1P-113.4				NA	
20240119	2	2		0.1	1000	130	NA	
20240119	2	3	C1P-12.7	0.1	1000	130	NA	
20240119	2	4	C1P-2.4	0.1	1000	130	NA	
20240119	2	5	C1P-22.2	0.1	1000	130	NA	
20240124	2	2	C1P-106.7	0.1	1000	130	NA	
20240124	2	3	C1P-40.4	0.1	1000	130	NA	
20240124	2	4	C1P-8.0	0.1	1000	130	NA	
20240124	2	5	C1P-113.4	0.1	1000	130	NA	
20240202	1	2	C1P-94.1	0.1	1000	130	NA	
20240202	1	3	C1P-96.1	0.1	1000	130	NA	
20240202	1	4	C1P-75.4	0.1	1000	130	NA	
20240202	1	5	C1P-76.8	0.1	1000	130	NA	
20240207	2	2	C1P-94.1	0.1	1000	130	NA	
20240207	2	3	C1P-96.1	0.1	1000	130	NA	
20240207	2	4	C1P-75.4	0.1	1000	130	NA	
20240207	2	5	C1P-76.8	0.1	1000	130	NA	
20240212	1	2	C1P-43.8	0.1	1000	130	NA	
20240212	1	3	C1P-94.1	0.1	1000	130	NA	
20240212	1	4	C1P-21.0	0.1	1000	130	NA	
20240212	1	5	C1P-76.8	0.1	1000	130	NA	
20240212	2	2	C1P-43.8	0.1	1000	130	NA	
20240212	2	3	C1P-94.1	0.1	1000	130	NA	
20240212	2	4	C1P-21.0	0.1	1000	130	NA	
20240212	2	5	C1P-76.8	0.1	1000	130	NA	
20240221	2	2	C1P-43.8	0.1	1000	130	NA	
