filename,date,group,position,field,channel,nucleus_index,spot_index,center_x,center_y,center_z,center_r,area,eccentricity,solidity,nuclear_mask_offset_x,nuclear_mask_offset_y
20241121/CS3_g2/p4_ch2_nucleus_0019_spot_1.npy,20241121,2,3,4,2,0019,1,13.66158290005777,45.53956094742923,5.013671700473594,0.708452405257735,13.0,0.6223256231644438,0.5909090909090909,2,506
20241121/CS3_g2/p3_ch3_nucleus_0020_spot_0.npy,20241121,2,3,3,3,0020,0,35.72975866278524,65.02088459010236,5.2682215743440235,0.40642472573597155,6.0,0.7146982481994576,0.6666666666666666,3,177
20241121/CS3_g2/p4_ch3_nucleus_0002_spot_0.npy,20241121,2,3,4,3,0002,0,58.568299783044516,26.50876060747535,5.854260725424764,0.3660569185997381,4.0,0.0,1.0,1,168
20241121/CS3_g2/p3_ch2_nucleus_0009_spot_0.npy,20241121,2,3,3,2,0009,0,48.22361004404348,51.82657213926565,4.906763156729961,0.12247463773329048,7.0,0.7238845965239823,0.875,2,284
20241121/CS3_g2/p1_ch2_nucleus_0012_spot_1.npy,20241121,2,3,1,2,0012,1,52.966233164007335,30.596020487743186,5.246811178357004,0.4600615346857768,11.0,0.7881623929592126,0.6875,4,117
20241121/CS3_g2/p5_ch2_nucleus_0014_spot_4.npy,20241121,2,3,5,2,0014,4,39.33459884986879,78.02741332142259,3.5063302752293586,0.7494466979583811,3.0,0.97372313034591,0.75,1,656
20241121/CS3_g2/p4_ch3_nucleus_0002_spot_1.npy,20241121,2,3,4,3,0002,1,39.340710398058064,56.007765830346464,6.497949210227769,0.5379385485356343,7.0,0.377964473009227,1.0,1,168
20241121/CS3_g2/p3_ch3_nucleus_0012_spot_2.npy,20241121,2,3,3,3,0012,2,48.22916926764712,68.6987190691403,8.302536165200426,0.23336652834505633,4.0,0.9128709291752769,0.8,2,365
20241121/CS3_g2/p4_ch3_nucleus_0007_spot_1.npy,20241121,2,3,4,3,0007,1,36.784777132460995,12.858704779231685,4.754489398528776,0.7192605692195059,6.0,0.6741998624632421,1.0,1,410
20241121/CS3_g2/p2_ch2_nucleus_0009_spot_1.npy,20241121,2,3,2,2,0009,1,34.400752343727035,45.599329943868106,6.217466054772638,0.3808142415557286,8.0,0.8118569573870783,0.8,2,629
